title,score
ヘルムート・ニュートンと12人の女たち,3.7
フード・ラック！食運,3.6
精神0,3.9
真･鮫島事件,3.1
水上のフライト,3.7
ヒットマン エージェント：ジュン,3.7
マイ・ストーリー,4.1
13月の女の子,3.7
"Never, Rarely, Sometimes, Always（原題）",4.3
"アリアナ・グランデ excuse me, i love you",4.0
バッド・ヘアー,3.2
ACCA13区監察課 Regards,3.9
アトラクション -侵略-,3.0
由宇子の天秤,4.8
レフト ー恐怖物件ー,2.8
マシュー・ボーン IN CINEMA 赤い靴,3.8
写真の女,3.5
甦る三大テノール 永遠の歌声,4.0
シルヴィ　恋のメロディ,3.6
トレマーズ　地獄島,3.4
ネイバー・イン・ザ・ウインドウ,3.1
にしきたショパン,4.2
ハイスクール・ミュージカル：ザ・ミュージカル ホリデー・スペシャル,3.7
パブリック・トラスト,3.6
忘れられた神様,-
前田建設ファンタジー営業部,3.8
ガーディアンズ・オブ・ギャラクシー Vol.3（原題）,-
風の電話,3.7
ホテルローヤル,3.3
わたしは金正男を殺してない,3.9
はるヲうるひと,-
劇場版 おいしい給食 Final Battle,3.7
夏、至るころ,3.6
思い、思われ、ふり、ふられ,3.4
十二単衣を着た悪魔,3.4
青い、森,3.5
ラブ・ギャランティード,3.3
スイッチング・プリンセス もう一度スイッチ!,3.5
クローゼット,3.5
劇場版 仮面ライダーゼロワン REAL×TIME,4.1
無頼,3.4
ブラック・ボックス,3.5
囀る鳥は羽ばたかない The clouds gather,3.8
Candyman（原題）,3.0
蒲田前奏曲,3.6
スポンジ・ボブ　スポンジ・オン・ザ・ラン,3.7
シークレット・ラブ: 65年後のカミングアウト,4.0
建築と時間と妹島和世,2.9
ファンタジー・アイランド,2.7
日本人の忘れもの　フィリピンと中国の残留邦人,4.2
友達やめた。,3.8
人狼ゲーム デスゲームの運営人,3.6
AVA／エヴァ,2.8
悪は存在せず,3.7
香港画,3.9
The Conjuring: The Devil Made Me Do It（原題）,-
リーサル・ストーム,3.2
キス・ザ・グラウンド: 大地が救う地球の未来,4.2
ロストブレット　窮地のカーチェイス,3.0
スポンティニアス,3.5
AK vs AK,4.0
マ・レイニーのブラックボトムが映画になるまで,3.4
Voice of Silence(英題）,3.5
グッドバイ,3.6
ワーキング・ガールズ,3.2
迷子になった拳,3.5
タイム・ガーディアンズ 異界の魔女と時をかける少女,-
ウィジャ・シャーク　霊界サメ大戦,1.4
Recoding Entropia,2.5
Always and Forever（原題）,-
ミス・アメリカーナ,4.1
人数の町,3.4
コリアタウン殺人事件,3.2
アルテミスと妖精の身代金,2.8
ブラッドショット,3.5
マクマホン・ファイル,2.8
劇場版 Fate/Grand Order -神聖円卓領域キャメロット- Wandering; Agateram,3.2
老後の資金がありません！,-
BREAK THE SILENCE: THE MOVIE,4.3
ホース・ガール,3.2
ヒュービーのハロウィーン,3.3
サマーフィルムにのって,4.1
#ハンド全力,3.5
ラブ、ウェディング、リピート,3.3
グレイハウンド,3.6
リスタートはただいまのあとで,3.5
誰も眠らない森,2.7
ウィロビー家の子どもたち,3.5
きょうのできごと a day in the home,3.4
トランスジェンダーとハリウッド: 過去、現在、そして,4.2
ザ・ターニング,2.8
ビューティフル ドリーマー,3.3
もったいないキッチン,3.5
Wonderland（英題）,-
裏アカ,-
ジングル・ジャングル 魔法のクリスマスギフト,3.5
Without Remorse（原題）,-
ビースティ・ボーイズ・ストーリー,4.0
『犬鳴村』恐怖回避ばーじょん 劇場版,2.6
日本独立,3.1
過去はいつも新しく、未来はつねに懐かしい　写真家 森山大道,3.7
オラフの生まれた日,3.8
大怪獣のあとしまつ,-
ザ・ウェイバック,3.5
おかえり　ただいま,2.9
ロックンロール・ストリップ,3.5
夢追いウサギ,3.9
The War with Grandpa（原題）,3.3
コスメティック・ウォー　わたしたちがbossよ！,3.2
Kajillionaire（原題）,4.0
ザ・ビースト,2.8
カラミティ（仮題）,3.8
ショーン・メンデス　ありのままの魅力,4.0
明日、キミのいない世界で,2.9
Life in a Year（原題）,3.4
アンブレイカブル・キミー・シュミット: キミーVS教祖,3.6
TOVE（原題）,3.2
オクトパスの神秘: 海の賢者は語る,4.2
演じる女,4.2
MOTHERS,4.1
Days（英題）,3.6
エポックのアトリエ 菅谷晋一がつくるレコードジャケット,3.9
劇場版 生徒会役員共2,3.5
警察と泥棒,3.7
ROMA/ローマ 完成までの道,3.9
リョーマ！ The Prince of Tennis 新生劇場版テニスの王子様,-
アーカイヴ,3.4
トゥルーノース,4.1
こちら放送室よりトム少佐へ,3.7
トム・クルーズ-永遠の若さを追求して-,3.5
Josée (英題）,3.5
Irréversible - Inversion Intégrale（原題）,-
ブラック・クローラー,2.6
SEASONS OF WOMAN,3.6
SAMJIN COMPANY ENGLISH CLASS（英題）,3.8
デヴィッド・アッテンボロー: 地球に暮らす生命,4.1
ストレンジ・ワールド　異世界への招待状,2.0
兎たちの暴走,3.5
ウルトラス,3.3
なんのちゃんの第二次世界大戦,4.2
ホワイトシャーク　海底の白い死神,2.2
GET SET GO,3.1
君の視線が止まる先に,3.6
新作歌舞伎『風の谷のナウシカ』,3.8
Pawn（英題）,4.2
Canvas（原題）,3.2
残光に祈りを,3.6
この子をよろしく ～突然!? 育児トライアル～,3.4
コスモボール／COSMOBALL,3.5
狼をさがして,-
タイタンフォール 巨神降臨,1.6
Run Hide Fight（原題）,3.5
ただ傍にいるだけで,3.5
ピース・オブ・ケイク　グランマのレシピ,2.7
デューン・ サバイバー 砂の惑星,-
Red Soil（英題）,-
"Wittgenstein Plays Chess with Marcel Duchamp, or How Not to Do Philosophy（原題）",4.8
劇場版 Fate/stay night Heaven's Feel Ⅲ.spring song,4.2
カメラを止めるな！リモート大作戦！,3.5
耳をすませば,-
狩りの時間,3.4
僕のミッシー,3.3
恋する遊園地,3.5
10万分の1,3.3
リトル・サブカル・ウォーズ 〜ヴィレヴァン！の逆襲〜,3.6
ハピエスト・ホリデー 私たちのカミングアウト,3.6
ロストガールズ,3.1
貴族降臨 PRINCE OF LEGEND,3.3
殺人ホテル,2.8
ハミルトン,4.5
ボー・ピープはどこに？,3.6
うたのはじまり,4.2
The Green Knight（原題）,-
恋するけだもの,3.9
侍の名のもとに　野球日本代表　侍ジャパンの800日,3.9
Reframe THEATER EXPERIENCE with you,4.3
The Secret Garden（原題）,3.4
愛は、365の日々で,2.8
踊ってミタ,3.6
The Nightingale（原題）,-
コフィー＆カリーム,3.2
ヘイター,3.5
希望のカタマリ,3.6
仮面ライダージオウ NEXT TIME ゲイツ、マジェスティ,3.6
ポゼッサー,3.5
The Sandman（原題）,-
Last Lover ラストラバー,3.5
わたしは分断を許さない,3.9
The Croods: A New Age（原題）,3.9
ルーブル美術館の夜 ―ダ・ヴィンチ没後500年展,3.7
デンジャラス・ライ,3.1
ゾンビーズ2,3.7
Rifkin's Festival（原題）,-
魚座どうし,4.0
Run（原題）,3.6
いまだったら言える気がする,3.4
ラブバード,3.3
アンチ・ライフ,2.6
Life線上の僕ら ディレクターズカット版,3.9
名も無い日,3.8
タイガーテール －ある家族の記憶－,3.4
映画館にいく日,3.3
劇場短編 仮面ライダーセイバー 不死鳥の剣士と破滅の本,2.8
サイケな世界 ～スターが語る幻覚体験～,3.7
フェアリー・ゴッドマザー,3.6
映画プリキュアミラクルリープ みんなとの不思議な1日,3.8
グッドボタン　暴走する若者たち,2.9
劇場版ウルトラマンタイガ ニュージェネクライマックス,3.6
恐竜超伝説　劇場版ダーウィンが来た！,3.4
仮面ライダー電王　プリティ電王とうじょう！,3.6
KING OF PRISM ALL STARS プリズムショー☆ベストテン,4.5
都会のトム＆ソーヤ,-
ディープ・ブルー3,2.8
Deliver Us From Evil（英題）,3.6
ふたつのシルエット,3.7
海辺の彼女たち,3.9
ヴァンパイアvsザ・ブロンクス,3.2
